PredictionString,image_id
1 0.0515334 139.82617 53.28705 256.86447 166.24834 8 0.999592 173.76877 234.41656 460.54965 472.6527 ,batch_01_vt/0021.jpg
1 0.061086394 285.56345 344.68234 306.22256 376.25998 6 0.74603486 285.896 344.05182 306.70856 376.5266 8 0.99931 156.50343 58.254272 477.96393 254.24866 8 0.99913234 1.5085754 242.8078 307.357 458.48608 8 0.99640936 284.79053 213.18674 487.0412 430.56265 8 0.9581782 457.07175 347.90634 511.881 434.3666 8 0.5010032 294.82907 179.569 488.54355 275.88422 8 0.27928695 237.89285 57.0727 343.11044 109.50861 8 0.073369354 232.27307 54.861984 442.42346 131.99646 8 0.071512856 170.54312 55.09236 351.1105 135.99084 8 0.058233608 286.1909 285.93222 313.19638 339.10165 ,batch_01_vt/0028.jpg
1 0.9455977 70.886826 169.51443 373.72272 378.68546 6 0.061702456 68.28531 168.85999 372.3176 376.58386 ,batch_01_vt/0031.jpg
2 0.09204419 298.56967 158.69185 362.98404 223.45451 8 0.9636138 35.71756 122.45673 392.46014 374.72632 8 0.8378637 31.591476 231.94803 305.4204 375.47366 ,batch_01_vt/0032.jpg
1 0.2587508 291.41275 0.12922859 312.0339 23.380842 1 0.24179223 389.13242 265.70523 508.17453 344.26132 1 0.06492829 75.12671 427.93198 227.034 511.38632 1 0.053812835 269.1983 427.91434 287.19525 454.5225 2 0.9921416 356.69037 163.08282 511.26215 298.80106 2 0.8335911 317.26633 242.55452 414.5596 298.2987 2 0.66809624 239.0077 38.51429 272.20413 77.065125 2 0.6325082 72.983986 463.6222 105.591576 493.37164 2 0.5171543 0.07221985 453.7417 98.2104 511.92267 2 0.50839406 0.16858673 491.4625 41.26375 511.9659 2 0.5021301 37.28316 459.53702 74.581406 473.02 2 0.4642212 0.012188911 454.45636 18.946583 492.01483 2 0.4535882 0.0096206665 454.18637 42.07255 511.88272 2 0.37902015 29.004013 216.49329 386.33783 271.02213 2 0.29030076 33.704483 149.99234 389.33972 282.3985 2 0.1922701 38.1466 438.0842 167.22116 476.2725 2 0.18004698 70.011475 460.17093 125.74396 475.79294 2 0.17682862 72.57923 458.5056 129.28406 492.1585 2 0.14039063 69.81949 462.85718 101.524704 480.37823 2 0.11283698 238.75558 42.59445 256.34665 77.68536 2 0.107359104 35.931103 450.5966 128.50566 475.382 2 0.094376735 76.19661 428.17142 226.8914 509.72983 2 0.09134372 336.83145 290.57877 411.0557 299.39566 2 0.08806163 350.46286 185.60161 373.696 220.9764 2 0.087424 291.0642 1.3024349 313.23425 23.196486 2 0.08466858 0.0 488.84137 18.789776 511.748 2 0.073822774 73.37993 444.948 159.66724 495.32825 2 0.06941789 25.267273 214.48703 394.84018 332.39078 2 0.05233929 84.016914 470.30054 131.28004 502.83276 6 0.7399347 153.38857 298.6829 284.44446 411.598 6 0.48451647 110.49021 253.34889 280.08588 281.834 6 0.30165818 198.89082 278.46048 259.0183 307.30997 6 0.18571897 80.40115 430.51324 231.75482 510.56042 6 0.16482008 227.91916 390.12738 277.4669 457.5692 6 0.12923117 149.74223 193.33563 193.88322 220.5635 6 0.11230168 291.18292 1.251668 313.46844 23.61525 6 0.0858674 242.48735 403.91266 284.4984 460.75452 6 0.08051323 230.23051 392.25604 256.27478 449.4317 6 0.07914225 153.44699 262.86847 272.04004 280.24353 6 0.06706003 72.43232 253.3105 276.87427 306.75134 6 0.06631406 197.81207 277.88 259.7026 288.84106 7 0.9510462 0.66588783 86.78112 47.14144 137.03714 7 0.68672323 149.89595 193.13675 194.71785 220.10986 7 0.37808543 200.09442 278.66605 258.57434 306.16415 8 0.99939096 150.18005 0.41477966 356.01627 219.97523 8 0.9988524 44.71376 60.125053 188.7716 217.7604 8 0.99719393 157.07248 355.96637 350.6396 500.44257 8 0.99411654 0.0 261.16364 214.50603 469.68707 8 0.9939207 0.16098022 200.77295 64.47841 318.08582 8 0.9863181 239.42969 268.20074 387.4439 376.15723 8 0.9458659 0.10320473 124.35924 41.11373 212.57002 8 0.65081865 71.66043 423.3841 233.80179 511.03613 8 0.58430505 164.00409 138.26463 367.18494 221.29384 8 0.40665323 289.7614 135.7572 359.51392 221.16077 8 0.34415078 388.6128 265.55145 508.43304 344.19696 8 0.27306375 339.7248 294.69882 405.56653 332.04977 8 0.23542611 291.47385 0.05385971 311.96878 23.27109 8 0.15846758 2.2404137 269.98236 116.782394 343.42847 8 0.13867773 0.0 262.39926 217.26016 338.65482 8 0.13649741 16.907104 334.99332 367.6355 508.0533 8 0.07662023 203.93668 1.7114401 248.90283 27.860584 8 0.06505786 53.988037 252.57658 282.58142 314.15265 8 0.05330724 0.79499054 219.60287 129.47711 334.8151 ,batch_01_vt/0070.jpg
1 0.5174589 308.14658 218.84032 345.85623 260.20087 1 0.4378742 69.92818 236.0515 105.877625 252.10902 1 0.2516473 387.89047 292.21738 419.07028 311.2078 1 0.2368879 307.38834 216.23718 343.4285 238.48495 1 0.21175775 310.12933 237.21083 341.62793 260.23874 1 0.17696837 85.91387 218.86354 114.08648 237.15804 1 0.112027064 67.81095 226.14742 113.71711 254.15526 1 0.10393558 77.96975 224.58215 106.04014 239.96341 1 0.0968733 79.11376 232.37872 113.96381 250.6369 1 0.080235854 338.93747 209.18668 362.87173 261.0053 1 0.07903011 361.24902 230.7528 373.8039 264.03354 1 0.07740579 141.19785 196.812 172.1731 213.6826 1 0.060278125 360.69345 217.08847 373.83115 253.20447 1 0.055389296 3.5686045 316.89618 28.805222 327.61346 2 0.13713586 69.99661 236.39143 106.900665 252.48323 2 0.13314627 387.8999 292.14386 419.62482 310.91962 2 0.09443953 84.73657 218.84627 113.98923 236.31383 2 0.08768533 308.3607 235.6828 343.67654 259.61627 2 0.054008186 78.00215 224.54335 106.01503 239.96068 3 0.060527503 72.43836 236.25735 104.67779 252.33987 6 0.31151345 280.20758 239.18732 328.53918 272.75595 6 0.25469434 259.3144 182.54022 329.812 225.06439 6 0.075496614 170.25546 189.00859 218.53802 206.59108 6 0.054986667 136.99359 195.43172 170.13824 211.22078 8 0.9996012 120.9509 246.14606 279.79626 360.21515 8 0.9993511 264.23264 196.86716 408.07278 350.55832 8 0.9989083 49.707138 236.44017 164.59654 298.15814 8 0.95659554 116.570656 158.10498 265.77817 271.06906 8 0.76707304 260.24762 174.82199 361.8402 227.73413 8 0.2918838 114.16139 157.65762 187.56288 210.4982 8 0.27272606 162.82234 201.65869 228.36781 249.64859 8 0.19953668 307.79074 215.3647 347.4512 258.4359 8 0.15857688 407.4651 268.83395 494.29163 295.4274 8 0.15583783 195.74556 212.11581 265.37122 269.79016 8 0.12619212 290.74026 175.53352 363.22873 207.83119 8 0.11990205 307.90588 213.5915 351.12848 237.44145 8 0.10845446 263.28836 181.95615 328.85983 220.9266 8 0.097445846 69.62334 235.0181 110.86078 252.55984 8 0.09653245 337.50064 186.49242 361.28555 210.47823 8 0.09251826 141.28491 196.81723 172.10318 213.56839 8 0.086817354 114.01619 157.10051 251.39568 221.17845 8 0.078459814 136.94531 179.75925 240.4296 249.00555 8 0.070329756 289.42377 219.11282 310.88593 238.61725 8 0.06527503 124.5526 158.88011 164.11009 175.98546 8 0.05903199 266.249 183.65175 348.4467 255.21849 8 0.058701504 170.23404 188.98103 218.42337 206.60301 8 0.05702501 308.34616 235.71861 343.70956 259.55975 8 0.054990567 279.8784 238.70425 331.38516 273.04877 ,batch_01_vt/0076.jpg
1 0.12539887 380.7021 172.40115 402.73425 201.12943 1 0.10440011 328.69412 169.57898 385.4868 196.88123 1 0.075785734 321.1388 161.51926 402.65375 201.00046 1 0.06970485 272.81616 402.41037 333.9594 414.12424 1 0.059515987 278.56808 215.75702 311.1575 225.3866 1 0.05168028 406.9243 256.00644 431.82474 271.81638 2 0.37669635 319.3924 167.55641 404.4781 201.76646 2 0.30433917 381.20013 171.12216 403.70197 201.67801 2 0.12304144 338.9039 175.98651 382.20975 196.13406 2 0.10763891 0.0 27.954567 28.512749 92.9479 2 0.09958281 407.0681 255.98566 431.84534 271.7685 3 0.30808562 320.3959 162.57669 403.65256 201.0394 3 0.30396104 319.77448 168.1492 352.02716 191.03604 3 0.117437296 320.59723 169.18913 383.63184 194.25667 3 0.050007373 338.92767 176.02849 382.323 196.13905 6 0.6234081 223.67815 242.92441 296.65308 304.13766 6 0.30769348 464.78244 354.68353 512.0 396.2262 6 0.14252673 304.9551 184.50645 325.98746 203.31734 6 0.11084976 272.62354 402.41757 334.03955 414.17355 6 0.06207777 246.89424 219.74904 309.9276 245.3549 6 0.05712306 285.9851 182.21085 326.41492 220.89676 8 0.99813676 338.63116 266.687 471.21332 414.12634 8 0.99669576 98.57449 117.34237 216.20114 267.01004 8 0.99454886 441.71448 207.96527 511.37354 356.75684 8 0.9932856 394.88953 402.42993 512.0 512.0 8 0.99052 196.37651 317.54205 417.77905 470.18433 8 0.98975253 172.71045 85.07815 288.9827 214.61697 8 0.98136544 284.78967 173.93585 435.38354 287.74963 8 0.97197694 377.5699 0.6372833 511.87805 195.2781 8 0.94884676 121.959564 228.17981 304.21747 329.65283 8 0.9347575 196.42374 204.95844 280.5156 253.58783 8 0.9031493 401.02817 148.60278 511.96585 273.2132 8 0.64441186 436.56226 363.37054 468.45532 411.76776 8 0.5529522 291.22266 313.75845 348.6228 345.2775 8 0.539483 174.07257 197.8159 227.57846 235.58247 8 0.51719177 312.1015 105.97363 406.9444 195.28683 8 0.49880078 194.42873 315.2251 387.32422 404.81696 8 0.46018443 463.80832 354.01462 512.0 396.58194 8 0.42725372 285.25958 244.09236 384.40692 316.76306 8 0.39091125 447.4465 340.61627 475.91434 369.44836 8 0.3816978 286.3208 105.8037 439.45386 243.38815 8 0.37381724 402.53076 98.44154 511.4472 189.70012 8 0.35911778 301.95523 272.88007 376.18967 316.74316 8 0.34551993 373.70563 493.07025 403.31335 512.0 8 0.25694337 285.11423 123.23432 350.8279 190.32617 8 0.23200777 449.70834 339.3564 509.88602 368.603 8 0.1953432 246.94063 219.77017 309.7909 245.27563 8 0.18736245 246.84016 219.56657 315.51807 270.56372 8 0.17801414 443.69498 347.02136 511.86087 410.80322 8 0.16131938 405.56223 230.91023 466.75327 272.66083 8 0.16064708 285.24503 181.30562 326.7463 219.24251 8 0.15727866 465.6129 384.3797 511.55908 412.62732 8 0.15522526 433.92743 185.34483 511.2796 296.3916 8 0.14220373 222.23938 241.49179 300.90436 307.809 8 0.13587444 273.00424 402.38263 333.8477 414.10132 8 0.13282098 453.32413 339.50116 487.7081 364.92438 8 0.13230787 469.70486 338.91864 507.94125 360.21808 8 0.12633175 222.78749 306.99902 347.99692 344.18585 8 0.11748555 158.9182 357.51642 222.29317 391.05524 8 0.09810269 402.7885 193.12189 469.64954 270.85678 8 0.091216534 249.28192 182.00737 325.93665 224.90474 8 0.08495227 177.47684 300.62735 293.35806 332.9595 8 0.08019887 212.96286 204.80627 285.07068 221.41177 8 0.077538475 167.76758 188.86873 308.84656 254.0718 8 0.07494451 319.73514 158.4883 403.15726 201.13966 8 0.07478592 253.03151 204.58736 297.4044 221.79756 8 0.07170235 365.54208 461.25385 397.35 482.2326 8 0.07113252 273.77518 394.57486 329.67886 411.83273 8 0.063384205 304.95694 184.52814 325.90347 203.24103 8 0.06330557 286.857 286.41736 352.40118 345.89325 8 0.06195095 373.89188 170.02861 437.66086 242.36699 8 0.060500666 328.95895 169.45041 385.40964 196.89215 8 0.052413654 299.5365 257.12534 420.97522 325.42154 8 0.05020598 286.49725 175.97348 327.1501 198.89194 8 0.050114777 245.65952 335.88828 347.70798 406.01706 ,batch_01_vt/0078.jpg
1 0.99558014 214.90953 196.86441 262.60962 271.17935 6 0.9878637 97.18951 243.56444 275.52954 323.43427 ,batch_01_vt/0096.jpg
1 0.24171361 397.25125 214.46817 424.83005 232.24973 1 0.21586451 357.88486 214.92882 473.65146 290.72314 1 0.17440899 358.3689 216.24226 485.10608 369.7517 1 0.10045167 390.85464 289.817 438.14755 363.0934 1 0.10007698 37.972954 239.50778 58.285545 259.903 1 0.081978075 280.31314 288.79816 435.0132 383.62604 1 0.077745825 432.0022 228.51447 458.5376 248.89777 1 0.058133475 454.26642 228.25877 470.86316 248.39229 2 0.92364466 217.41989 171.67789 359.3713 307.44153 2 0.52104425 282.018 289.26685 434.24518 383.70612 2 0.27901882 168.10551 35.963272 224.70305 278.54962 2 0.09330946 355.45602 360.5263 374.4567 385.4157 2 0.08888699 167.05624 165.18799 223.94638 286.39075 3 0.26489434 288.6822 291.05057 433.98608 378.24368 4 0.13665304 304.37122 289.7956 434.90778 380.47772 6 0.56134325 277.24478 321.40656 343.1655 379.85992 6 0.07764365 280.5792 288.8845 438.11038 382.0895 6 0.06811741 355.32053 360.5176 374.59427 385.43356 8 0.9996762 0.9698334 311.65784 239.04718 510.78967 8 0.99890864 134.85394 274.95828 291.30637 446.98605 8 0.9987085 34.594055 237.05219 184.52992 345.6944 8 0.99343336 0.0 244.96805 71.102356 328.91904 8 0.98591137 0.0 174.58086 60.67312 259.53888 8 0.9820287 263.97665 289.44235 437.27188 471.10825 8 0.95061177 358.37814 221.04185 485.0087 369.15442 8 0.8832475 317.1929 229.74498 376.11533 260.899 8 0.3864392 276.01364 320.6537 341.74612 380.12958 8 0.2808535 250.27806 287.85464 293.2709 323.99454 8 0.27158675 181.03354 275.68845 292.4597 324.7559 8 0.14286728 275.14682 288.80417 434.785 383.45316 8 0.10318135 314.07422 229.18483 376.9405 289.76093 8 0.078714095 216.96129 171.10767 360.56305 307.06607 8 0.076778956 358.3606 214.30176 476.78522 299.0224 8 0.07447626 326.4215 252.09233 359.37268 279.79498 ,batch_01_vt/0101.jpg
1 0.8046106 157.59567 130.42952 260.0517 170.6126 1 0.36771885 95.903915 0.0 424.02924 64.02706 1 0.22509457 161.81468 272.79327 300.10486 401.98578 1 0.13828446 401.1726 210.19635 415.77972 258.94406 1 0.07071703 85.157364 252.65353 228.4022 384.6226 1 0.0580246 22.759918 116.81298 203.72145 195.14362 2 0.88162446 86.08705 252.52737 228.38179 383.81833 2 0.8558127 398.98514 117.044235 511.93417 509.90735 2 0.8136604 393.0532 115.15955 511.69363 318.7382 2 0.6244253 158.5051 272.0635 303.14926 401.37723 2 0.5950803 430.03326 281.82538 512.0 461.88873 2 0.36428368 404.28244 414.42456 512.0 511.08722 2 0.15278849 429.15543 116.40106 511.9766 223.89221 2 0.07153635 18.459755 114.5822 203.66064 195.92262 2 0.063443944 0.009307861 481.87344 87.11659 511.9858 6 0.055674702 157.53085 130.1322 260.18982 172.46475 8 0.9968303 0.0 127.92978 445.39923 508.98642 8 0.76607734 83.25969 1.3551064 429.05298 63.53049 8 0.76508504 17.927032 114.53186 204.03625 196.71396 8 0.33948815 158.50471 272.03644 304.37292 400.9077 8 0.21200278 175.07764 290.9241 231.25781 372.84726 8 0.21003766 194.4694 238.01492 248.33156 263.33115 8 0.099615075 85.473885 252.84244 229.91617 383.15323 8 0.097640805 197.41385 237.68785 253.8219 283.6022 8 0.09185847 157.35454 130.5618 260.35217 172.36227 8 0.09092173 177.57365 317.9947 209.28862 369.65094 8 0.07571368 206.02026 255.07103 252.03436 282.86276 8 0.064900845 2.469818 115.63541 336.20364 258.15927 8 0.058409274 94.67439 356.72992 141.36842 392.6402 10 0.050732613 157.26907 130.67207 260.49023 173.37682 ,batch_01_vt/0122.jpg
