PredictionString,image_id
1 0.11986713 229.11731 153.87619 252.2529 239.05896 2 0.43060708 164.19101 75.652725 254.41284 166.77904 2 0.18473911 141.5262 50.518417 255.55843 239.07344 8 0.99971277 175.75447 234.53857 461.26703 473.77704 ,batch_01_vt/0021.jpg
1 0.25946826 285.25388 344.4875 306.24326 373.4131 1 0.07906288 0.0 243.61798 306.2406 460.81604 2 0.22311606 285.24997 344.51288 306.358 373.40234 3 0.13967666 285.4175 344.87604 305.97232 373.25256 6 0.4730522 287.89606 222.58344 477.74078 429.8636 6 0.07194811 286.53726 300.75366 313.18015 337.40845 6 0.059719376 285.4076 344.0877 306.29803 373.65393 6 0.054998826 393.44467 271.57465 488.31198 378.33942 8 0.9967804 156.34258 65.88998 473.30823 254.79773 8 0.9843726 0.19859314 241.67345 305.65405 458.77753 8 0.9810588 458.3217 348.69138 511.95224 435.74655 8 0.8939619 286.69955 220.371 487.94485 430.9213 8 0.5188077 301.88968 179.4588 485.71695 278.49295 8 0.09946676 159.20558 233.47205 307.6933 257.4998 8 0.077281825 241.37393 80.5767 469.2488 182.64413 8 0.063369796 275.8261 242.23273 320.2447 263.07874 8 0.061585087 236.46127 58.442093 347.06613 106.30818 8 0.050498884 274.20093 250.11948 310.07672 266.76376 ,batch_01_vt/0028.jpg
1 0.93145984 71.267044 167.40526 374.05316 379.22192 8 0.16018943 67.28641 164.40353 373.89728 380.0928 ,batch_01_vt/0031.jpg
8 0.99078965 33.62111 121.01256 385.1341 375.19568 8 0.36705586 33.70572 230.58286 335.30597 376.43338 ,batch_01_vt/0032.jpg
1 0.7843214 388.60074 270.0354 507.97354 344.51636 1 0.6110138 368.01956 173.03757 511.18582 346.3992 1 0.38037604 73.18745 435.72385 234.56522 510.44278 1 0.2771639 237.8663 267.05988 388.3383 376.11304 1 0.26831895 27.215439 215.50189 383.99548 266.73212 1 0.22722511 291.17032 0.0045671463 313.58572 22.591747 1 0.20969714 316.2894 241.72235 418.7438 299.0174 1 0.20705204 37.837173 459.55316 72.943306 472.78162 1 0.15130696 1.6377869 400.85934 248.95638 510.3151 1 0.13201123 72.598366 464.3432 104.53014 492.79224 1 0.10916231 161.9483 350.7662 353.83966 503.33102 1 0.107780516 228.63054 390.70135 278.03745 457.77643 1 0.092085026 38.432144 457.73544 97.47836 472.2263 1 0.06905488 14.559418 146.74023 383.94083 276.8914 1 0.068674244 90.65985 462.8221 124.289536 476.0917 1 0.06512821 71.67656 250.57802 384.3614 295.20578 1 0.06186657 324.78052 286.35007 413.4345 299.76096 1 0.0615441 271.22464 336.89838 287.9611 353.59644 1 0.060279455 229.30164 392.78107 259.8583 446.54053 2 0.8023967 363.24902 166.11313 512.0 345.9221 2 0.51166344 0.0 491.11172 41.8003 512.0 2 0.31992266 37.05812 459.1906 74.407326 472.84955 2 0.26022592 71.89105 463.18088 105.38699 491.79288 2 0.22105888 316.47354 241.59842 418.98465 299.28702 2 0.22002588 0.0 459.29462 19.684237 491.5822 2 0.18792203 238.79642 39.016167 272.8001 76.68501 2 0.17117293 34.97951 457.47263 120.2999 473.77127 2 0.13236919 14.853897 140.81326 388.7351 275.12793 2 0.11470715 71.23538 462.11163 124.49216 477.63153 2 0.10431304 39.43354 461.233 90.82278 476.749 2 0.10360524 147.40178 299.3745 288.17926 410.18018 2 0.084907316 338.77826 130.34158 353.35583 146.24197 2 0.074883 271.26328 336.9296 287.95908 353.58267 2 0.06236369 94.73887 463.16055 125.56414 476.10068 2 0.062141627 0.17341328 491.18958 21.00838 512.0 2 0.056472417 70.584854 458.5197 129.48492 491.41638 3 0.07150415 290.8523 0.6468296 313.39136 22.74041 6 0.7242547 147.79294 298.26993 287.57913 409.46628 6 0.27363068 290.89334 0.0 313.5388 23.012226 6 0.1411299 239.46098 266.5081 387.5293 377.876 6 0.07006929 0.049310684 116.7789 42.802032 212.20401 7 0.8366205 0.0 86.569374 47.03501 144.46428 7 0.5323852 198.11868 277.45963 260.17642 310.45853 7 0.19967823 197.76245 278.11642 261.30432 292.6019 7 0.17331159 149.59535 191.91269 195.51161 219.73953 7 0.13351701 16.067566 141.81833 387.9427 275.65485 7 0.06990666 0.0 87.43829 47.043957 203.07397 7 0.05028592 27.15889 214.88806 383.5868 266.7953 8 0.9994898 149.46677 0.0 357.78662 221.02652 8 0.9991297 43.309074 58.919846 185.9783 217.61491 8 0.99524504 0.0 258.11118 210.6348 467.82944 8 0.9836488 0.25517654 197.86237 65.16815 318.6441 8 0.96435183 161.05048 349.97623 352.4878 503.77798 8 0.8027622 237.58292 266.47406 388.26364 376.58917 8 0.4691104 0.09235954 123.390854 41.531433 212.65685 8 0.3930315 149.09918 170.1331 196.91058 220.79762 8 0.3479348 152.71454 136.71606 363.7804 221.2463 8 0.22474444 289.14917 133.97963 358.14258 222.2996 8 0.18081474 290.92297 0.064536095 315.7375 23.735191 8 0.13222028 381.91724 187.60547 511.77966 345.20007 8 0.11049918 0.26213837 261.17975 208.83118 351.9325 8 0.07778433 150.83261 144.77539 209.6268 217.33801 8 0.07639301 338.98087 294.2451 410.72275 331.08957 8 0.07483752 0.004893303 317.41373 21.245396 340.94595 8 0.059149727 144.46497 296.194 287.69797 411.70377 8 0.055425767 0.0 290.37076 68.86212 349.29514 8 0.05309288 110.49653 254.69421 276.5862 281.9679 ,batch_01_vt/0070.jpg
1 0.37590304 386.75482 291.84668 419.0551 310.65033 1 0.33498666 69.1521 235.5771 107.901 253.19875 1 0.15883476 84.54605 219.12758 113.8017 238.19774 1 0.074650906 306.84134 214.97617 348.45737 238.26459 1 0.06677641 308.02203 218.84888 345.71295 260.09866 1 0.06156496 361.89432 213.2334 372.61484 252.82968 1 0.05973383 221.45758 262.94226 234.78085 276.45142 2 0.11061402 84.35414 219.08174 113.78705 238.11732 2 0.08228389 68.830956 234.48016 108.43403 253.16644 2 0.050065994 60.161972 220.16252 113.73212 258.7727 3 0.16167848 68.91464 235.15788 108.16951 253.54204 4 0.050631873 68.666435 234.53036 108.40055 253.4943 6 0.12115475 330.052 180.11938 361.6695 211.465 6 0.06683729 260.62207 182.13797 329.67792 222.70288 6 0.054779775 361.14468 235.11809 373.48685 265.61786 6 0.05343214 50.197945 234.1388 109.86587 277.03177 8 0.9997036 263.0697 194.68375 408.25513 351.1591 8 0.99921834 120.448395 246.05931 279.71237 362.14102 8 0.9983968 49.378185 236.36316 166.49728 298.10608 8 0.99366367 112.48434 160.34938 265.69193 268.4464 8 0.9082103 259.49747 182.18787 330.18747 229.33286 8 0.80918944 389.03085 266.22183 493.65952 297.262 8 0.2763297 258.06793 174.91449 363.88293 239.7398 8 0.13174264 119.00629 159.15216 166.14993 175.66147 8 0.112627074 309.00766 224.03015 345.8627 260.5397 8 0.10254905 327.24573 178.09941 361.70734 211.38942 8 0.08994691 293.48752 175.88757 362.56778 211.50323 8 0.06376027 162.51599 193.90363 267.22305 272.78503 8 0.05957782 48.832214 232.47855 112.005325 278.19382 8 0.05292249 361.92065 213.22937 372.6396 252.74655 ,batch_01_vt/0076.jpg
1 0.1852051 321.58585 162.46625 404.31845 201.49908 1 0.10760712 380.75113 170.34859 403.78946 201.65297 1 0.06249404 437.50708 387.48483 468.35132 411.38943 1 0.06169733 405.2755 230.39888 463.4693 272.49335 1 0.05536978 400.1046 196.13776 422.18683 210.29944 2 0.29356527 319.94067 162.65369 404.9737 201.41025 2 0.15720035 381.32794 171.01224 403.16998 201.83765 2 0.11920585 406.04956 230.47392 465.97345 272.39206 2 0.055888336 437.12134 383.8989 468.87762 411.3848 3 0.13714074 322.17633 160.98949 402.6419 201.5349 4 0.06999068 246.1619 218.33699 310.65823 246.82076 5 0.34482065 222.56796 241.39053 297.69437 304.2441 5 0.10767372 245.99344 218.54414 310.4377 247.07762 5 0.102677025 285.23712 245.18568 300.1795 268.846 5 0.056611054 246.83968 220.96121 307.1004 273.5205 6 0.24739188 223.8364 241.92761 296.61978 305.46637 6 0.17683174 136.94586 243.519 225.19739 305.30634 6 0.15746388 461.42416 351.69702 511.973 397.4729 6 0.15013254 370.67532 491.87616 422.9268 512.0 6 0.13701254 305.01108 184.12366 326.7698 203.46115 6 0.091989 246.89055 218.32532 313.03262 246.92908 6 0.0804969 285.28336 122.41088 354.62704 188.83472 6 0.070651785 128.95969 232.27461 292.07474 329.20752 6 0.065937385 285.54996 179.95345 327.6813 216.71648 6 0.05825081 175.40636 197.85117 230.38963 236.1206 6 0.057075407 246.64291 221.19757 306.3671 273.43143 6 0.052334223 195.68562 203.45247 280.3172 251.69637 8 0.9945661 98.982635 116.671455 211.94641 268.9675 8 0.9927447 398.90988 401.19574 511.72043 512.0 8 0.992132 287.4018 175.53287 436.00085 284.68137 8 0.9917325 378.61197 0.0 511.31253 121.71823 8 0.99042994 435.65866 209.14703 511.99545 353.05017 8 0.9823614 185.39706 84.14029 288.47443 214.86078 8 0.9464937 432.33337 146.5639 512.0 245.31247 8 0.897323 203.07271 285.10858 462.73035 472.50244 8 0.81526643 123.905846 228.61313 300.9621 331.25125 8 0.7924243 340.8765 267.2431 473.49783 414.135 8 0.78974336 402.14865 100.17915 512.0 189.71709 8 0.65799206 194.74529 207.51698 264.8338 253.43654 8 0.6378469 449.34302 341.99295 512.0 413.26907 8 0.62867904 288.95865 106.02472 407.75046 191.13687 8 0.5280221 301.44193 273.71158 378.478 315.87643 8 0.5010175 404.83398 226.8623 465.05664 273.37292 8 0.45643747 285.64246 176.61725 327.3219 222.93451 8 0.38976207 180.56146 197.74219 307.63794 255.45657 8 0.25313514 319.5915 155.65485 406.3703 201.68079 8 0.24946833 378.88617 1.2300949 511.62305 242.32913 8 0.22387372 284.54166 119.97014 357.55093 189.52504 8 0.22250865 176.02185 197.3644 231.59085 235.84566 8 0.16230649 449.98724 338.7541 493.8371 368.30176 8 0.16079298 457.38422 338.19568 511.93274 362.21948 8 0.15793362 288.2786 251.79587 394.3364 317.15207 8 0.1391004 293.39706 313.31543 349.34622 343.91962 8 0.1369076 368.97647 489.88745 428.57028 512.0 8 0.13216561 285.7833 186.1555 311.08182 221.81248 8 0.12964004 194.85342 308.41425 356.31564 382.9226 8 0.09125294 287.03137 109.89645 434.69385 263.5672 8 0.08918565 213.80139 310.20636 350.271 345.95392 8 0.08254219 442.64178 364.7416 465.5901 394.8409 8 0.0823253 464.10306 353.4402 511.577 398.05475 8 0.08104833 437.20483 383.8302 468.80017 411.46765 8 0.077153645 437.0778 362.69504 472.86697 412.07205 8 0.0760099 246.68498 218.2161 313.0154 246.8237 8 0.07373426 490.72382 193.02663 512.0 232.93282 8 0.073730856 364.90466 440.83112 410.27277 482.82074 8 0.06558466 305.04306 184.11148 326.78183 203.44559 8 0.06465879 246.80627 188.1178 310.82202 224.30975 8 0.060145095 387.77734 171.49686 436.82434 244.62857 8 0.058205504 249.91145 202.67935 290.78003 222.27686 8 0.054329827 184.29031 241.2528 476.4119 408.3957 8 0.05381205 402.70776 198.25386 422.95978 215.47984 8 0.052936755 324.7944 167.86082 391.83414 195.75151 8 0.052771606 132.64853 230.54288 226.24487 316.66348 ,batch_01_vt/0078.jpg
1 0.9972133 214.09209 197.47339 262.94446 274.52893 1 0.24213572 122.110504 196.87505 263.94092 268.18124 1 0.117202684 183.51505 196.81972 262.49283 292.9575 6 0.9852246 96.93512 241.87021 276.71933 331.69968 ,batch_01_vt/0096.jpg
1 0.7618103 217.49869 171.58057 357.97195 317.02826 1 0.60683656 397.77972 214.2667 425.0354 231.49582 1 0.2327814 358.38925 219.19757 485.8043 374.77905 1 0.22169526 271.79102 291.92337 433.88092 381.9703 1 0.10582643 322.7239 243.2466 336.7416 254.76967 1 0.060431734 167.50475 35.274895 224.27818 282.32837 1 0.05013359 260.62222 341.3378 280.74716 380.183 2 0.33742347 217.79224 172.17929 358.40576 311.93927 2 0.2292701 277.3123 290.6323 435.29465 381.86154 2 0.21436998 322.72473 243.26805 336.78284 254.77937 2 0.16893016 9.036123 173.41373 55.81508 195.96613 2 0.069809236 260.6218 341.28802 280.79196 380.12604 3 0.084722556 283.81055 291.23032 434.59467 382.02316 3 0.057211034 397.73553 214.2964 424.86536 231.49614 4 0.06503309 276.94098 289.96292 435.34625 381.30856 6 0.48884657 280.3871 322.20285 345.0526 379.76584 6 0.109961726 322.72852 243.2662 336.7663 254.76819 6 0.06373758 352.94006 355.8416 374.64783 384.3211 6 0.056486808 280.69275 292.07935 434.4615 380.84106 7 0.09039991 245.60054 289.23947 293.11096 322.04446 7 0.06937685 272.1509 291.01364 433.82565 382.36343 8 0.9992687 0.60733795 301.35342 238.81842 510.88687 8 0.99869186 137.94205 274.115 290.607 447.41998 8 0.99868864 31.777802 236.94598 186.56264 342.17926 8 0.98933315 0.003616333 245.25102 71.30892 328.53342 8 0.98021585 0.08336258 172.83264 61.286488 260.55566 8 0.97011125 264.30402 288.0128 438.8354 470.5092 8 0.92434555 316.5923 228.97395 379.4499 289.37726 8 0.91202134 358.72495 218.64517 485.00418 374.35898 8 0.57797694 316.45706 229.56087 375.22244 261.92062 8 0.18162479 322.70352 243.25533 336.7446 254.73228 8 0.16344729 270.86746 291.05093 433.69083 382.8848 8 0.13417286 277.29248 322.4846 374.42786 381.54794 8 0.0888085 320.06784 240.82292 358.82034 289.48633 8 0.07457307 0.229702 245.4604 54.677887 279.54935 8 0.0654853 398.0143 214.16759 425.27994 230.39803 8 0.05243094 246.16446 288.61478 293.0745 323.2772 ,batch_01_vt/0101.jpg
0 0.09631617 159.08844 273.24805 305.47427 401.2497 0 0.09328611 86.50375 255.13397 221.25507 385.00293 0 0.08205629 157.95247 130.67174 257.0835 172.93501 1 0.5324178 158.75839 271.47885 303.97183 400.77902 1 0.40397415 85.85733 255.1996 223.02472 384.94098 1 0.21748693 157.89052 130.34337 258.57928 170.56224 1 0.2164353 80.72356 0.3731308 428.00104 61.55558 1 0.0743066 0.0 121.0305 454.86966 512.0 1 0.05289598 189.26692 149.63797 222.72389 175.72418 2 0.7598606 395.51535 114.69468 512.0 317.64655 2 0.6329714 428.65945 115.128 512.0 224.86304 2 0.40435582 83.34013 0.0 428.92084 61.873665 2 0.39683783 86.4685 254.24194 223.1683 384.13013 2 0.24900465 156.63708 271.62244 305.4339 401.3493 2 0.13258848 0.0 120.5957 461.89255 512.0 2 0.12594636 404.2611 418.51025 511.818 511.99377 2 0.06521267 390.13647 115.97038 511.9756 506.91748 4 0.66827965 468.6636 346.4228 511.8716 403.80566 4 0.07961541 442.22568 407.5825 512.0 421.882 6 0.095916115 468.89404 346.7573 512.0 404.17624 6 0.06274217 404.78806 417.77173 512.0 512.0 7 0.05297207 86.82416 253.80695 221.28839 384.15863 8 0.97136545 0.0 119.15077 449.50034 510.95398 8 0.62741035 81.771805 0.0 427.29108 61.689392 8 0.09432304 442.22644 462.8171 511.77942 512.0 8 0.07232479 192.3241 235.63503 247.62503 262.52792 8 0.067238465 85.51659 254.08228 222.66154 384.61676 8 0.05374883 184.61191 234.82927 257.3062 278.29553 10 0.5844607 157.64847 130.69777 258.62442 170.61784 10 0.14198312 156.20767 271.01453 307.39105 401.69757 10 0.09529258 85.806435 253.79776 223.66168 384.3361 ,batch_01_vt/0122.jpg
