PredictionString,image_id
1 0.991336 167.9502 74.63723 253.93277 162.18484 1 0.12556353 229.73738 147.02803 251.01648 248.68866 2 0.15174517 168.71716 73.47328 250.41815 166.55473 2 0.07130999 152.76852 47.76269 305.3757 171.44753 3 0.0739136 170.18388 73.6319 250.42014 167.77686 4 0.20632814 165.66278 69.56854 256.39087 161.69478 8 0.99985266 172.88895 235.32214 465.6251 471.01706 8 0.050601296 172.10559 71.86772 249.90172 167.42256 ,batch_01_vt/0021.jpg
0 0.052839044 283.9749 343.9386 309.03186 374.5596 1 0.19903 284.5772 341.15643 309.25354 373.93167 1 0.18664551 0.0 236.80792 308.01398 457.9224 4 0.059748475 178.65402 0.2592749 205.76718 62.458057 6 0.5082295 98.87881 6.7210155 191.53426 233.69336 6 0.15732677 289.99878 217.6111 483.75745 428.0416 6 0.09206332 328.30078 184.31981 473.8964 273.47974 6 0.05238444 283.51172 341.65613 310.19202 377.51846 6 0.05054272 49.833546 8.896426 256.6779 243.69847 8 0.9976927 154.46681 83.1905 472.57587 258.1155 8 0.99693596 283.31314 184.79031 488.27795 434.39227 8 0.98574346 0.0 243.71503 295.35522 459.19485 8 0.976944 447.68668 349.3378 510.42896 436.0075 8 0.70488083 307.12512 179.24965 484.63876 280.6618 8 0.17650943 218.89189 3.8876953 396.18616 125.76301 8 0.08733223 83.1217 3.9794629 491.28235 227.68211 8 0.06670128 217.36626 118.286476 474.84195 356.3029 8 0.061953045 271.67032 243.13066 306.6086 251.76257 10 0.076474324 0.0 236.67555 299.17184 461.49814 ,batch_01_vt/0028.jpg
1 0.7059896 65.60211 161.65578 383.88394 384.66837 8 0.76733893 56.500526 174.05112 379.04532 389.07608 10 0.06607043 240.65811 461.51077 301.50156 512.0 ,batch_01_vt/0031.jpg
2 0.11062243 297.6823 163.54648 350.75485 224.41992 4 0.10893098 297.25397 161.4307 355.10593 225.82504 6 0.10118539 296.4568 164.71492 354.51044 226.62535 8 0.9647127 28.521055 187.82527 360.49097 376.7587 8 0.84975207 147.65808 125.256966 376.01328 373.34805 ,batch_01_vt/0032.jpg
1 0.76737076 389.16772 260.9127 502.7882 343.93954 1 0.32878086 292.35675 136.00316 356.28323 221.83331 1 0.2901888 66.391945 409.27014 235.38496 511.82712 1 0.24184912 1.3790344 126.596954 41.99642 216.10722 1 0.099972025 291.58188 0.0 317.42145 25.68351 1 0.06954936 101.28321 332.4664 363.35754 504.75772 1 0.062235743 333.93567 144.36916 362.12073 219.45781 1 0.054394912 461.64862 213.43463 510.20996 266.0819 2 0.99707174 353.0296 165.5059 506.24344 297.10785 2 0.91817546 312.98813 245.13716 407.97852 295.846 2 0.9123741 3.176509 456.6642 97.00537 511.66696 2 0.75061595 459.73227 212.2144 511.98767 266.19733 2 0.64865446 0.0 490.73398 21.23946 512.0 2 0.5220784 0.0 457.13126 21.737017 500.4672 2 0.49680424 65.0876 426.8875 230.71078 510.3361 2 0.46566513 377.00613 252.5607 504.8922 344.10574 2 0.2899702 30.92246 139.8809 421.36148 296.4962 2 0.21383323 0.09550293 427.54102 136.26749 512.0 2 0.20647979 0.4575659 489.30637 42.79881 512.0 2 0.20563075 37.756588 460.24597 85.61741 472.644 2 0.1638831 145.14384 125.42541 378.1211 273.23236 2 0.15295884 7.4279103 216.26886 393.4189 289.33792 2 0.15126704 341.23004 230.4746 502.72714 299.2569 2 0.108860806 2.3398035 452.78726 35.853203 512.0 2 0.108387 224.50642 390.61798 275.0281 453.99493 2 0.10453621 238.9354 267.1662 387.47876 373.195 2 0.10326092 340.3715 167.89098 359.6529 219.20636 2 0.09638219 30.737198 459.26117 83.35417 496.89804 2 0.08712715 473.98526 273.24103 510.25198 290.6197 2 0.06638632 0.0 473.86316 22.602089 510.82385 2 0.063695185 36.18745 458.63397 121.8736 473.73758 2 0.054685634 39.589832 462.62415 89.28683 478.68985 2 0.051399264 1.3184083 321.66904 220.71262 498.1642 4 0.06690317 161.85599 295.45135 287.53473 390.72122 5 0.11189256 161.58394 293.4985 290.54468 391.47812 5 0.055212367 172.81427 485.92526 232.35994 508.81073 6 0.9967602 239.22545 263.83716 384.87637 372.20898 6 0.96738315 163.29597 297.602 285.67087 388.8598 6 0.13830529 190.90529 277.2113 271.466 299.22675 6 0.118016355 0.21293457 126.70596 42.192352 216.3913 6 0.09890503 73.346565 419.957 233.64049 510.80426 6 0.072187595 110.07265 334.26874 364.03958 500.67343 6 0.062490173 385.95813 264.28064 501.16858 343.5972 6 0.057950325 197.94762 274.10132 267.39957 316.7263 6 0.051941305 291.74417 0.0 317.49115 24.351036 7 0.9977189 1.0076172 84.884315 48.26238 135.58487 7 0.28935698 0.7085791 124.596504 43.797985 213.6803 8 0.9999118 154.32613 352.34668 354.16336 498.5984 8 0.99987316 42.422108 57.377705 180.84485 221.56378 8 0.99976224 149.18317 0.0 350.65393 222.61028 8 0.9993187 0.83921874 253.80392 212.21176 481.2539 8 0.99758327 0.3351416 193.7834 73.789635 321.36044 8 0.9863354 286.3011 133.275 355.70508 222.65973 8 0.676165 65.99634 402.21048 224.21695 508.6043 8 0.6179154 291.26587 0.0 317.24924 24.783726 8 0.47649747 70.21394 333.04684 316.50848 506.16278 8 0.3690063 17.710693 347.05215 225.53441 501.91794 8 0.11703881 170.57838 93.63807 355.36 231.99065 8 0.1084325 462.96313 214.81049 510.49 265.31796 8 0.099481754 1.3519385 126.90047 42.398174 209.16899 8 0.08131673 156.35204 295.42038 298.17313 394.28485 8 0.067423455 387.74423 262.16037 501.6593 341.9611 10 0.07346129 0.08052979 127.48868 42.13999 215.51125 10 0.05084624 384.9408 262.9418 499.55994 343.7609 ,batch_01_vt/0070.jpg
0 0.081238315 403.77332 264.42566 495.99512 299.31372 1 0.89735746 70.28675 235.54985 104.405365 253.60246 1 0.48891443 404.90585 264.075 496.72446 296.5884 1 0.34834492 74.16484 219.17033 110.70483 252.72247 1 0.23645522 388.9256 293.9538 418.61044 311.3052 1 0.20794709 79.15855 217.54256 112.50632 239.34865 1 0.0951198 307.4899 212.27002 344.78763 255.0008 1 0.051353287 1.0787426 154.1178 39.363285 329.89978 2 0.54691017 76.10642 217.95192 113.02916 248.48984 2 0.20867975 70.27542 235.97719 108.681335 252.19977 2 0.06738421 78.13617 223.56137 106.33527 243.34007 2 0.053066645 79.34599 217.6135 112.421486 234.90506 6 0.06553144 302.50717 213.6768 345.30627 246.19218 6 0.06385329 403.9485 266.08838 494.43988 297.04736 6 0.06164445 209.89424 260.38858 235.68861 275.0303 7 0.07886582 302.67715 214.25713 344.561 246.133 7 0.0517924 405.62668 266.73126 487.04175 296.59842 8 0.999959 125.41289 249.508 279.45694 361.72485 8 0.99994206 259.45532 199.41776 406.45343 349.23526 8 0.9991703 110.24957 162.37408 271.01422 263.12265 8 0.997829 52.710323 235.65703 169.6227 298.90747 8 0.560086 278.67603 183.14618 330.3735 212.70184 8 0.2724389 405.33173 265.80667 494.31226 296.69543 8 0.14216618 257.29535 181.14923 351.47644 214.64587 8 0.096048586 302.0963 213.38551 345.41617 246.81949 8 0.081495665 70.566216 235.81181 107.01207 252.9311 8 0.07268175 339.7732 184.11215 359.79187 209.45087 10 0.22807217 405.64258 265.10385 493.6307 297.21768 10 0.09633491 1.0757214 154.7174 40.29955 329.6112 ,batch_01_vt/0076.jpg
1 0.62031907 402.3274 229.7142 466.60965 270.32706 1 0.2561297 427.21228 250.7562 464.11212 264.72955 1 0.22174244 287.9326 245.7964 299.03387 269.2186 1 0.13230112 366.16833 167.91803 401.0698 197.75995 1 0.1322367 295.07153 313.54767 342.51196 341.76398 1 0.108451754 324.69687 162.71823 407.41046 197.30872 1 0.08864297 428.7369 243.57239 466.84763 270.50757 1 0.052301437 318.33905 166.33244 332.9911 186.21811 2 0.6998297 319.2122 165.83894 405.73322 198.30281 2 0.6677579 402.95407 231.20685 466.99063 271.74994 2 0.23814978 286.54694 245.25461 299.09177 268.1684 2 0.13991453 298.9844 166.68944 409.90683 215.42014 2 0.13166477 380.484 171.53148 403.7609 198.67168 2 0.06663332 362.86124 167.36818 401.7547 197.67307 2 0.057673726 427.4125 249.77492 466.19547 262.7751 3 0.37523332 403.81195 229.5832 460.9407 271.03595 3 0.09997795 319.3034 161.97389 398.08286 196.6297 5 0.15213832 286.44055 244.85052 299.73904 269.14297 5 0.059980597 217.96985 242.6451 300.52457 306.6417 6 0.9917823 222.24796 243.59175 297.44537 306.9033 6 0.2716784 291.25906 314.91464 346.53683 336.61453 6 0.24119669 322.1151 164.85442 401.44196 198.01582 6 0.16175684 288.0561 263.60916 318.04 315.74976 6 0.12929453 286.02557 244.86934 300.67767 268.14777 6 0.09464112 245.89075 219.195 312.31442 245.60336 6 0.070176125 218.28564 303.07092 293.99976 324.83804 6 0.063308984 319.42978 162.18004 366.42993 196.85883 6 0.062392138 287.85144 271.8192 305.47778 317.97113 6 0.06152603 327.8543 156.76097 406.24158 187.19176 6 0.059621207 217.64067 275.97025 258.93765 312.5159 8 0.99995446 175.3575 87.74861 291.11456 215.94232 8 0.9998925 97.16333 123.16911 208.86617 270.47668 8 0.9995995 397.07883 399.53513 511.95813 511.86932 8 0.9993895 200.96503 312.28867 420.54797 468.03665 8 0.9991048 295.15173 169.08661 433.39914 283.32812 8 0.99896634 433.7407 197.80927 512.0 361.79926 8 0.99887496 379.24014 1.7996826 512.0 113.75109 8 0.9988728 434.00317 149.43898 512.0 244.11469 8 0.99776757 341.66058 267.00375 473.93723 419.5876 8 0.99488306 124.08475 228.1587 251.71393 329.3768 8 0.9903279 387.6911 103.63061 511.33173 184.43591 8 0.9895342 437.2326 340.0377 478.02255 410.71817 8 0.9858517 460.71527 349.00818 510.43253 414.55566 8 0.9670591 300.7944 275.71808 384.09482 316.25128 8 0.9138547 218.90019 302.2342 291.4344 325.26602 8 0.8104977 174.91351 201.4391 224.2812 236.388 8 0.7917034 189.24127 204.0399 256.71265 250.92319 8 0.7646485 286.64868 109.49557 429.63782 233.26494 8 0.602948 285.3625 189.07199 312.7216 219.925 8 0.56536365 240.69345 216.81291 311.30383 249.0985 8 0.4258107 198.17818 205.13348 314.96732 252.78316 8 0.40890977 178.61226 210.11725 217.63937 231.67525 8 0.22433595 404.6922 230.11133 467.99054 270.02405 8 0.21217783 290.17267 315.14288 347.5102 339.51828 8 0.1980946 377.3753 0.0 508.38342 230.60043 8 0.15164937 412.9828 218.81995 501.88824 293.25705 8 0.14671907 216.59322 243.00992 301.78537 313.67087 8 0.128067 185.18979 224.35295 201.08658 238.4467 8 0.12196821 287.3612 264.23828 417.3484 314.73743 8 0.12041067 217.40132 292.29028 259.56805 324.39075 8 0.1186929 286.6585 245.2954 300.45105 269.30984 8 0.110646255 430.9375 261.2605 449.9575 274.18524 8 0.10488558 286.35928 267.31244 306.07727 319.89417 8 0.10270318 465.74188 343.73337 489.06586 359.13858 8 0.093113944 451.2849 341.32028 486.81805 367.8863 8 0.08778121 460.20062 342.071 480.0272 361.74765 8 0.078531526 287.47946 262.3632 319.2575 316.09723 8 0.07694225 324.12057 159.94913 405.77652 196.84178 8 0.076821 306.91898 271.81314 331.0562 288.98386 8 0.063029565 238.07416 201.50055 308.9051 269.27884 8 0.06287554 255.21281 203.43152 279.96274 220.5653 8 0.06031393 310.9124 147.41719 414.78305 208.08344 8 0.05800823 264.52893 264.17007 486.79028 457.9597 8 0.050590433 413.7218 74.73723 507.16165 421.50348 ,batch_01_vt/0078.jpg
1 0.90466106 147.86552 192.88156 268.40222 318.5898 1 0.26786983 145.69733 306.16797 287.81686 509.04367 1 0.15974377 210.3367 198.41782 261.39374 289.32874 1 0.14808957 311.99997 315.37573 428.3549 504.26007 1 0.0922179 128.99945 201.1271 265.5504 267.6662 2 0.15803778 302.84274 320.6764 432.33984 510.57822 6 0.7042592 95.856735 212.3748 280.8804 323.64392 6 0.1313281 87.948906 234.86298 288.46906 393.63278 10 0.1964988 145.74547 310.5453 291.40598 512.0 10 0.06444581 116.78944 187.05936 277.21027 332.317 ,batch_01_vt/0096.jpg
1 0.731106 397.87778 214.21169 427.4716 231.96582 1 0.48308173 16.669165 173.41063 55.519554 190.15918 1 0.4527714 355.1353 225.42572 489.6761 370.29852 1 0.14996824 309.68045 288.87683 437.2245 365.3205 1 0.1325519 361.78458 227.41203 471.98886 286.26636 1 0.08409896 167.54669 300.60074 244.65118 352.72754 2 0.7370043 299.4156 289.4392 438.37762 371.48367 2 0.6620847 220.72379 170.73547 355.05423 314.02667 2 0.3372139 169.91676 31.181835 217.18047 283.5175 2 0.060658548 283.26874 318.6661 408.81506 389.23587 4 0.1312288 355.3154 225.2541 491.5004 369.50668 5 0.080158025 278.2765 322.33636 357.54758 381.93466 6 0.6521965 282.22266 321.3553 340.43057 382.53555 6 0.12490015 356.39728 360.46414 374.17288 385.2833 6 0.07258007 284.20224 295.88162 436.91965 376.6101 6 0.06814993 358.75763 223.99763 472.08542 285.3988 6 0.067712754 289.51483 327.6012 380.6519 382.36505 6 0.0502412 396.71194 214.2978 427.8732 233.37079 7 0.053500608 15.447956 172.70369 56.539318 194.86104 8 0.999879 133.0057 274.08798 289.94855 451.01172 8 0.9998185 0.0 275.90784 233.00531 512.0 8 0.99913603 0.7942871 239.09409 187.85652 356.8961 8 0.99754995 1.6532714 176.53236 59.17406 263.72595 8 0.9952231 262.8728 295.77292 439.72913 467.93872 8 0.95359397 319.618 228.49591 374.15292 261.17325 8 0.9145493 352.47247 220.73656 485.72263 373.3782 8 0.46601203 276.08676 288.3446 451.3898 376.0926 8 0.4057025 172.21442 282.07886 292.66904 365.13565 8 0.16783734 283.36734 322.48965 341.20648 382.67206 8 0.078175806 339.2818 292.39682 436.38892 367.26212 8 0.057555504 318.95615 236.30652 363.7294 281.07758 8 0.05667207 354.0215 260.1209 374.38675 290.1722 10 0.072878435 355.74963 221.00441 493.23254 377.88272 ,batch_01_vt/0101.jpg
0 0.096291594 470.03284 351.59637 512.0 409.59918 1 0.58331436 41.557304 117.0091 224.48056 200.35088 1 0.42886364 468.42465 351.31357 512.0 405.02457 1 0.21378893 0.0 79.68883 436.28186 512.0 1 0.11357567 61.950703 4.372122 419.13318 60.346348 1 0.096347325 439.61426 459.58884 512.0 512.0 1 0.0821568 169.96814 267.34573 292.8102 401.07715 1 0.06994583 92.45883 252.75728 210.59425 382.41714 1 0.066520914 402.81638 423.0385 508.09247 511.07953 1 0.05657371 3.9614844 8.027657 502.42746 244.74762 1 0.051363472 92.27856 353.8262 142.46979 393.1952 1 0.050218645 355.1872 93.669586 512.0 335.34296 2 0.68249404 82.25785 259.83167 233.51765 394.34207 2 0.64223915 139.87184 263.11954 298.92706 399.59616 2 0.37374818 3.7390528 228.23094 251.94774 426.27396 2 0.2337476 420.46368 437.33923 507.89352 509.90866 2 0.18083254 401.46832 110.64575 511.77185 279.75403 2 0.092512235 55.240234 2.8068457 425.45667 59.27536 2 0.07477554 5.249121 209.56593 338.3529 508.04883 3 0.08007056 154.6321 259.2778 292.4221 391.55273 4 0.05744719 449.2254 275.6446 512.0 307.53635 4 0.053086232 470.405 349.23547 512.0 407.5072 6 0.36217347 92.079315 259.61578 221.20319 388.50806 6 0.2946095 11.396328 157.90752 452.35196 500.41772 6 0.13062747 151.9256 268.80124 295.37036 399.70688 6 0.11633617 59.580235 3.0405931 424.30176 63.272217 6 0.102573045 160.42296 204.65735 373.87418 417.51562 6 0.09584318 26.981133 233.31718 227.76228 413.18698 6 0.09242965 440.4525 461.0368 512.0 510.00015 6 0.061223622 10.816816 118.073906 259.6471 196.8548 6 0.0523261 469.60938 348.24786 512.0 408.1663 7 0.31047747 436.6526 461.4102 512.0 512.0 7 0.14464086 74.5488 246.44415 231.15993 384.92224 7 0.11008465 0.0 0.0 512.0 218.78427 7 0.07041364 59.8442 0.95871335 446.38882 61.52511 7 0.05967323 4.8336916 222.48871 446.35477 512.0 8 0.89753306 0.0 80.44232 427.6268 512.0 8 0.7420532 438.91074 460.12845 510.70996 512.0 8 0.6706654 401.50977 422.0685 508.6867 510.67618 8 0.6484566 70.24625 0.0 419.68155 65.438835 8 0.2613434 9.652617 219.01382 247.74123 475.1846 8 0.2530039 468.50464 349.87802 512.0 403.9152 8 0.24598694 0.0 129.45871 299.01123 419.28833 8 0.2443625 19.18715 119.05424 257.98694 199.8806 8 0.121815994 68.37169 250.00124 237.57344 394.20343 8 0.07064509 128.71037 143.03389 418.57712 451.39923 8 0.06455569 164.00807 273.31625 267.5351 387.99554 8 0.055262405 147.54831 253.97812 317.8876 400.0093 10 0.10329696 470.35938 348.84393 512.0 406.553 10 0.09740329 13.221436 116.50526 253.58296 198.77553 10 0.07208778 87.36572 259.73105 225.5332 383.4575 10 0.06203312 164.40932 274.0524 292.31482 388.86905 ,batch_01_vt/0122.jpg
