,PredictionString,image_id
0,1 0.991336 167.9502 74.63723 253.93277 162.18484 1 0.12556353 229.73738 147.02803 251.01648 248.68866 2 0.43060708 164.19101 75.652725 254.41284 166.77904 2 0.18473911 141.5262 50.518417 255.55843 239.07344 3 0.0739136 170.18388 73.6319 250.42014 167.77686 4 0.20632814 165.66278 69.56854 256.39087 161.69478 8 0.99985266 172.88895 235.32214 465.6251 471.01706 8 0.050601296 172.10559 71.86772 249.90172 167.42256 ,batch_01_vt/0021.jpg
1,0 0.052839044 283.9749 343.9386 309.03186 374.5596 1 0.25946826 285.25388 344.4875 306.24326 373.4131 1 0.18664551 0.0 236.80792 308.01398 457.9224 2 0.22311606 285.24997 344.51288 306.358 373.40234 3 0.13967666 285.4175 344.87604 305.97232 373.25256 4 0.059748475 178.65402 0.2592749 205.76718 62.458057 6 0.5082295 98.87881 6.7210155 191.53426 233.69336 6 0.4730522 287.89606 222.58344 477.74078 429.8636 6 0.09206332 328.30078 184.31981 473.8964 273.47974 6 0.07194811 286.53726 300.75366 313.18015 337.40845 6 0.059719376 285.4076 344.0877 306.29803 373.65393 6 0.054998826 393.44467 271.57465 488.31198 378.33942 8 0.9976927 154.46681 83.1905 472.57587 258.1155 8 0.99693596 283.31314 184.79031 488.27795 434.39227 8 0.98574346 0.0 243.71503 295.35522 459.19485 8 0.9810588 458.3217 348.69138 511.95224 435.74655 8 0.70488083 307.12512 179.24965 484.63876 280.6618 8 0.17650943 218.89189 3.8876953 396.18616 125.76301 8 0.09946676 159.20558 233.47205 307.6933 257.4998 8 0.063369796 275.8261 242.23273 320.2447 263.07874 8 0.061953045 271.67032 243.13066 306.6086 251.76257 8 0.061585087 236.46127 58.442093 347.06613 106.30818 10 0.076474324 0.0 236.67555 299.17184 461.49814 ,batch_01_vt/0028.jpg
2,1 0.93145984 71.267044 167.40526 374.05316 379.22192 8 0.76733893 56.500526 174.05112 379.04532 389.07608 10 0.06607043 240.65811 461.51077 301.50156 512.0 ,batch_01_vt/0031.jpg
3,2 0.11062243 297.6823 163.54648 350.75485 224.41992 4 0.10893098 297.25397 161.4307 355.10593 225.82504 6 0.10118539 296.4568 164.71492 354.51044 226.62535 8 0.99078965 33.62111 121.01256 385.1341 375.19568 ,batch_01_vt/0032.jpg
4,1 0.7843214 388.60074 270.0354 507.97354 344.51636 1 0.6110138 368.01956 173.03757 511.18582 346.3992 1 0.38037604 73.18745 435.72385 234.56522 510.44278 1 0.32878086 292.35675 136.00316 356.28323 221.83331 1 0.2771639 237.8663 267.05988 388.3383 376.11304 1 0.26831895 27.215439 215.50189 383.99548 266.73212 1 0.24184912 1.3790344 126.596954 41.99642 216.10722 1 0.22722511 291.17032 0.0045671463 313.58572 22.591747 1 0.20969714 316.2894 241.72235 418.7438 299.0174 1 0.20705204 37.837173 459.55316 72.943306 472.78162 1 0.13201123 72.598366 464.3432 104.53014 492.79224 1 0.10916231 161.9483 350.7662 353.83966 503.33102 1 0.107780516 228.63054 390.70135 278.03745 457.77643 1 0.06905488 14.559418 146.74023 383.94083 276.8914 1 0.068674244 90.65985 462.8221 124.289536 476.0917 1 0.06512821 71.67656 250.57802 384.3614 295.20578 1 0.062235743 333.93567 144.36916 362.12073 219.45781 1 0.06186657 324.78052 286.35007 413.4345 299.76096 1 0.0615441 271.22464 336.89838 287.9611 353.59644 1 0.054394912 461.64862 213.43463 510.20996 266.0819 2 0.99707174 353.0296 165.5059 506.24344 297.10785 2 0.91817546 312.98813 245.13716 407.97852 295.846 2 0.9123741 3.176509 456.6642 97.00537 511.66696 2 0.75061595 459.73227 212.2144 511.98767 266.19733 2 0.64865446 0.0 490.73398 21.23946 512.0 2 0.5220784 0.0 457.13126 21.737017 500.4672 2 0.49680424 65.0876 426.8875 230.71078 510.3361 2 0.46566513 377.00613 252.5607 504.8922 344.10574 2 0.31992266 37.05812 459.1906 74.407326 472.84955 2 0.2899702 30.92246 139.8809 421.36148 296.4962 2 0.26022592 71.89105 463.18088 105.38699 491.79288 2 0.18792203 238.79642 39.016167 272.8001 76.68501 2 0.17117293 34.97951 457.47263 120.2999 473.77127 2 0.11470715 71.23538 462.11163 124.49216 477.63153 2 0.108387 224.50642 390.61798 275.0281 453.99493 2 0.10453621 238.9354 267.1662 387.47876 373.195 2 0.10360524 147.40178 299.3745 288.17926 410.18018 2 0.10326092 340.3715 167.89098 359.6529 219.20636 2 0.09638219 30.737198 459.26117 83.35417 496.89804 2 0.08712715 473.98526 273.24103 510.25198 290.6197 2 0.084907316 338.77826 130.34158 353.35583 146.24197 2 0.074883 271.26328 336.9296 287.95908 353.58267 2 0.054685634 39.589832 462.62415 89.28683 478.68985 2 0.051399264 1.3184083 321.66904 220.71262 498.1642 3 0.07150415 290.8523 0.6468296 313.39136 22.74041 4 0.06690317 161.85599 295.45135 287.53473 390.72122 5 0.11189256 161.58394 293.4985 290.54468 391.47812 5 0.055212367 172.81427 485.92526 232.35994 508.81073 6 0.9967602 239.22545 263.83716 384.87637 372.20898 6 0.96738315 163.29597 297.602 285.67087 388.8598 6 0.27363068 290.89334 0.0 313.5388 23.012226 6 0.13830529 190.90529 277.2113 271.466 299.22675 6 0.118016355 0.21293457 126.70596 42.192352 216.3913 6 0.09890503 73.346565 419.957 233.64049 510.80426 6 0.072187595 110.07265 334.26874 364.03958 500.67343 6 0.062490173 385.95813 264.28064 501.16858 343.5972 7 0.9977189 1.0076172 84.884315 48.26238 135.58487 7 0.5323852 198.11868 277.45963 260.17642 310.45853 7 0.28935698 0.7085791 124.596504 43.797985 213.6803 7 0.17331159 149.59535 191.91269 195.51161 219.73953 7 0.13351701 16.067566 141.81833 387.9427 275.65485 7 0.05028592 27.15889 214.88806 383.5868 266.7953 8 0.9999118 154.32613 352.34668 354.16336 498.5984 8 0.99987316 42.422108 57.377705 180.84485 221.56378 8 0.99976224 149.18317 0.0 350.65393 222.61028 8 0.9993187 0.83921874 253.80392 212.21176 481.2539 8 0.99758327 0.3351416 193.7834 73.789635 321.36044 8 0.9863354 286.3011 133.275 355.70508 222.65973 8 0.8027622 237.58292 266.47406 388.26364 376.58917 8 0.676165 65.99634 402.21048 224.21695 508.6043 8 0.6179154 291.26587 0.0 317.24924 24.783726 8 0.4691104 0.09235954 123.390854 41.531433 212.65685 8 0.3930315 149.09918 170.1331 196.91058 220.79762 8 0.3479348 152.71454 136.71606 363.7804 221.2463 8 0.13222028 381.91724 187.60547 511.77966 345.20007 8 0.11049918 0.26213837 261.17975 208.83118 351.9325 8 0.1084325 462.96313 214.81049 510.49 265.31796 8 0.08131673 156.35204 295.42038 298.17313 394.28485 8 0.07639301 338.98087 294.2451 410.72275 331.08957 8 0.07483752 0.004893303 317.41373 21.245396 340.94595 8 0.055425767 0.0 290.37076 68.86212 349.29514 8 0.05309288 110.49653 254.69421 276.5862 281.9679 10 0.07346129 0.08052979 127.48868 42.13999 215.51125 10 0.05084624 384.9408 262.9418 499.55994 343.7609 ,batch_01_vt/0070.jpg
5,0 0.081238315 403.77332 264.42566 495.99512 299.31372 1 0.89735746 70.28675 235.54985 104.405365 253.60246 1 0.48891443 404.90585 264.075 496.72446 296.5884 1 0.37590304 386.75482 291.84668 419.0551 310.65033 1 0.34834492 74.16484 219.17033 110.70483 252.72247 1 0.15883476 84.54605 219.12758 113.8017 238.19774 1 0.0951198 307.4899 212.27002 344.78763 255.0008 1 0.06156496 361.89432 213.2334 372.61484 252.82968 1 0.05973383 221.45758 262.94226 234.78085 276.45142 1 0.051353287 1.0787426 154.1178 39.363285 329.89978 2 0.54691017 76.10642 217.95192 113.02916 248.48984 2 0.20867975 70.27542 235.97719 108.681335 252.19977 3 0.16167848 68.91464 235.15788 108.16951 253.54204 4 0.050631873 68.666435 234.53036 108.40055 253.4943 6 0.12115475 330.052 180.11938 361.6695 211.465 6 0.06683729 260.62207 182.13797 329.67792 222.70288 6 0.06553144 302.50717 213.6768 345.30627 246.19218 6 0.06385329 403.9485 266.08838 494.43988 297.04736 6 0.06164445 209.89424 260.38858 235.68861 275.0303 6 0.054779775 361.14468 235.11809 373.48685 265.61786 6 0.05343214 50.197945 234.1388 109.86587 277.03177 7 0.07886582 302.67715 214.25713 344.561 246.133 7 0.0517924 405.62668 266.73126 487.04175 296.59842 8 0.999959 125.41289 249.508 279.45694 361.72485 8 0.99994206 259.45532 199.41776 406.45343 349.23526 8 0.9991703 110.24957 162.37408 271.01422 263.12265 8 0.9983968 49.378185 236.36316 166.49728 298.10608 8 0.9082103 259.49747 182.18787 330.18747 229.33286 8 0.80918944 389.03085 266.22183 493.65952 297.262 8 0.13174264 119.00629 159.15216 166.14993 175.66147 8 0.112627074 309.00766 224.03015 345.8627 260.5397 8 0.10254905 327.24573 178.09941 361.70734 211.38942 8 0.081495665 70.566216 235.81181 107.01207 252.9311 8 0.05957782 48.832214 232.47855 112.005325 278.19382 8 0.05292249 361.92065 213.22937 372.6396 252.74655 10 0.22807217 405.64258 265.10385 493.6307 297.21768 10 0.09633491 1.0757214 154.7174 40.29955 329.6112 ,batch_01_vt/0076.jpg
6,1 0.62031907 402.3274 229.7142 466.60965 270.32706 1 0.2561297 427.21228 250.7562 464.11212 264.72955 1 0.22174244 287.9326 245.7964 299.03387 269.2186 1 0.1852051 321.58585 162.46625 404.31845 201.49908 1 0.13230112 366.16833 167.91803 401.0698 197.75995 1 0.1322367 295.07153 313.54767 342.51196 341.76398 1 0.06249404 437.50708 387.48483 468.35132 411.38943 1 0.05536978 400.1046 196.13776 422.18683 210.29944 1 0.052301437 318.33905 166.33244 332.9911 186.21811 2 0.6998297 319.2122 165.83894 405.73322 198.30281 2 0.6677579 402.95407 231.20685 466.99063 271.74994 2 0.23814978 286.54694 245.25461 299.09177 268.1684 2 0.15720035 381.32794 171.01224 403.16998 201.83765 2 0.057673726 427.4125 249.77492 466.19547 262.7751 2 0.055888336 437.12134 383.8989 468.87762 411.3848 3 0.37523332 403.81195 229.5832 460.9407 271.03595 3 0.13714074 322.17633 160.98949 402.6419 201.5349 4 0.06999068 246.1619 218.33699 310.65823 246.82076 5 0.34482065 222.56796 241.39053 297.69437 304.2441 5 0.15213832 286.44055 244.85052 299.73904 269.14297 5 0.10767372 245.99344 218.54414 310.4377 247.07762 6 0.9917823 222.24796 243.59175 297.44537 306.9033 6 0.2716784 291.25906 314.91464 346.53683 336.61453 6 0.24119669 322.1151 164.85442 401.44196 198.01582 6 0.17683174 136.94586 243.519 225.19739 305.30634 6 0.16175684 288.0561 263.60916 318.04 315.74976 6 0.15746388 461.42416 351.69702 511.973 397.4729 6 0.15013254 370.67532 491.87616 422.9268 512.0 6 0.13701254 305.01108 184.12366 326.7698 203.46115 6 0.12929453 286.02557 244.86934 300.67767 268.14777 6 0.09464112 245.89075 219.195 312.31442 245.60336 6 0.0804969 285.28336 122.41088 354.62704 188.83472 6 0.070651785 128.95969 232.27461 292.07474 329.20752 6 0.070176125 218.28564 303.07092 293.99976 324.83804 6 0.065937385 285.54996 179.95345 327.6813 216.71648 6 0.059621207 217.64067 275.97025 258.93765 312.5159 6 0.05825081 175.40636 197.85117 230.38963 236.1206 6 0.052334223 195.68562 203.45247 280.3172 251.69637 8 0.99995446 175.3575 87.74861 291.11456 215.94232 8 0.9998925 97.16333 123.16911 208.86617 270.47668 8 0.9995995 397.07883 399.53513 511.95813 511.86932 8 0.9993895 200.96503 312.28867 420.54797 468.03665 8 0.9991048 295.15173 169.08661 433.39914 283.32812 8 0.99896634 433.7407 197.80927 512.0 361.79926 8 0.99887496 379.24014 1.7996826 512.0 113.75109 8 0.9988728 434.00317 149.43898 512.0 244.11469 8 0.99776757 341.66058 267.00375 473.93723 419.5876 8 0.99488306 124.08475 228.1587 251.71393 329.3768 8 0.9903279 387.6911 103.63061 511.33173 184.43591 8 0.9895342 437.2326 340.0377 478.02255 410.71817 8 0.9858517 460.71527 349.00818 510.43253 414.55566 8 0.9670591 300.7944 275.71808 384.09482 316.25128 8 0.9138547 218.90019 302.2342 291.4344 325.26602 8 0.8104977 174.91351 201.4391 224.2812 236.388 8 0.7917034 189.24127 204.0399 256.71265 250.92319 8 0.7646485 286.64868 109.49557 429.63782 233.26494 8 0.602948 285.3625 189.07199 312.7216 219.925 8 0.56536365 240.69345 216.81291 311.30383 249.0985 8 0.5010175 404.83398 226.8623 465.05664 273.37292 8 0.25313514 319.5915 155.65485 406.3703 201.68079 8 0.22387372 284.54166 119.97014 357.55093 189.52504 8 0.21217783 290.17267 315.14288 347.5102 339.51828 8 0.16230649 449.98724 338.7541 493.8371 368.30176 8 0.15164937 412.9828 218.81995 501.88824 293.25705 8 0.14671907 216.59322 243.00992 301.78537 313.67087 8 0.1369076 368.97647 489.88745 428.57028 512.0 8 0.12964004 194.85342 308.41425 356.31564 382.9226 8 0.128067 185.18979 224.35295 201.08658 238.4467 8 0.1186929 286.6585 245.2954 300.45105 269.30984 8 0.110646255 430.9375 261.2605 449.9575 274.18524 8 0.10488558 286.35928 267.31244 306.07727 319.89417 8 0.10270318 465.74188 343.73337 489.06586 359.13858 8 0.08254219 442.64178 364.7416 465.5901 394.8409 8 0.08104833 437.20483 383.8302 468.80017 411.46765 8 0.076821 306.91898 271.81314 331.0562 288.98386 8 0.07373426 490.72382 193.02663 512.0 232.93282 8 0.073730856 364.90466 440.83112 410.27277 482.82074 8 0.06558466 305.04306 184.11148 326.78183 203.44559 8 0.06465879 246.80627 188.1178 310.82202 224.30975 8 0.06287554 255.21281 203.43152 279.96274 220.5653 8 0.060145095 387.77734 171.49686 436.82434 244.62857 8 0.054329827 184.29031 241.2528 476.4119 408.3957 8 0.05381205 402.70776 198.25386 422.95978 215.47984 8 0.050590433 413.7218 74.73723 507.16165 421.50348 ,batch_01_vt/0078.jpg
7,1 0.9972133 214.09209 197.47339 262.94446 274.52893 1 0.90466106 147.86552 192.88156 268.40222 318.5898 1 0.26786983 145.69733 306.16797 287.81686 509.04367 1 0.14808957 311.99997 315.37573 428.3549 504.26007 2 0.15803778 302.84274 320.6764 432.33984 510.57822 6 0.9852246 96.93512 241.87021 276.71933 331.69968 10 0.1964988 145.74547 310.5453 291.40598 512.0 10 0.06444581 116.78944 187.05936 277.21027 332.317 ,batch_01_vt/0096.jpg
8,1 0.7618103 217.49869 171.58057 357.97195 317.02826 1 0.731106 397.87778 214.21169 427.4716 231.96582 1 0.48308173 16.669165 173.41063 55.519554 190.15918 1 0.4527714 355.1353 225.42572 489.6761 370.29852 1 0.22169526 271.79102 291.92337 433.88092 381.9703 1 0.1325519 361.78458 227.41203 471.98886 286.26636 1 0.10582643 322.7239 243.2466 336.7416 254.76967 1 0.08409896 167.54669 300.60074 244.65118 352.72754 1 0.060431734 167.50475 35.274895 224.27818 282.32837 1 0.05013359 260.62222 341.3378 280.74716 380.183 2 0.7370043 299.4156 289.4392 438.37762 371.48367 2 0.6620847 220.72379 170.73547 355.05423 314.02667 2 0.3372139 169.91676 31.181835 217.18047 283.5175 2 0.21436998 322.72473 243.26805 336.78284 254.77937 2 0.16893016 9.036123 173.41373 55.81508 195.96613 2 0.069809236 260.6218 341.28802 280.79196 380.12604 2 0.060658548 283.26874 318.6661 408.81506 389.23587 3 0.084722556 283.81055 291.23032 434.59467 382.02316 3 0.057211034 397.73553 214.2964 424.86536 231.49614 4 0.1312288 355.3154 225.2541 491.5004 369.50668 4 0.06503309 276.94098 289.96292 435.34625 381.30856 5 0.080158025 278.2765 322.33636 357.54758 381.93466 6 0.6521965 282.22266 321.3553 340.43057 382.53555 6 0.12490015 356.39728 360.46414 374.17288 385.2833 6 0.109961726 322.72852 243.2662 336.7663 254.76819 6 0.07258007 284.20224 295.88162 436.91965 376.6101 6 0.06814993 358.75763 223.99763 472.08542 285.3988 6 0.0502412 396.71194 214.2978 427.8732 233.37079 7 0.09039991 245.60054 289.23947 293.11096 322.04446 7 0.06937685 272.1509 291.01364 433.82565 382.36343 7 0.053500608 15.447956 172.70369 56.539318 194.86104 8 0.999879 133.0057 274.08798 289.94855 451.01172 8 0.9998185 0.0 275.90784 233.00531 512.0 8 0.99913603 0.7942871 239.09409 187.85652 356.8961 8 0.99754995 1.6532714 176.53236 59.17406 263.72595 8 0.9952231 262.8728 295.77292 439.72913 467.93872 8 0.98933315 0.003616333 245.25102 71.30892 328.53342 8 0.95359397 319.618 228.49591 374.15292 261.17325 8 0.9145493 352.47247 220.73656 485.72263 373.3782 8 0.4057025 172.21442 282.07886 292.66904 365.13565 8 0.18162479 322.70352 243.25533 336.7446 254.73228 8 0.16783734 283.36734 322.48965 341.20648 382.67206 8 0.0888085 320.06784 240.82292 358.82034 289.48633 8 0.078175806 339.2818 292.39682 436.38892 367.26212 8 0.07457307 0.229702 245.4604 54.677887 279.54935 8 0.0654853 398.0143 214.16759 425.27994 230.39803 8 0.05667207 354.0215 260.1209 374.38675 290.1722 8 0.05243094 246.16446 288.61478 293.0745 323.2772 10 0.072878435 355.74963 221.00441 493.23254 377.88272 ,batch_01_vt/0101.jpg
9,0 0.09631617 159.08844 273.24805 305.47427 401.2497 0 0.096291594 470.03284 351.59637 512.0 409.59918 0 0.09328611 86.50375 255.13397 221.25507 385.00293 0 0.08205629 157.95247 130.67174 257.0835 172.93501 1 0.58331436 41.557304 117.0091 224.48056 200.35088 1 0.5324178 158.75839 271.47885 303.97183 400.77902 1 0.42886364 468.42465 351.31357 512.0 405.02457 1 0.40397415 85.85733 255.1996 223.02472 384.94098 1 0.21748693 157.89052 130.34337 258.57928 170.56224 1 0.2164353 80.72356 0.3731308 428.00104 61.55558 1 0.21378893 0.0 79.68883 436.28186 512.0 1 0.096347325 439.61426 459.58884 512.0 512.0 1 0.066520914 402.81638 423.0385 508.09247 511.07953 1 0.05657371 3.9614844 8.027657 502.42746 244.74762 1 0.05289598 189.26692 149.63797 222.72389 175.72418 1 0.051363472 92.27856 353.8262 142.46979 393.1952 1 0.050218645 355.1872 93.669586 512.0 335.34296 2 0.7598606 395.51535 114.69468 512.0 317.64655 2 0.68249404 82.25785 259.83167 233.51765 394.34207 2 0.6329714 428.65945 115.128 512.0 224.86304 2 0.40435582 83.34013 0.0 428.92084 61.873665 2 0.24900465 156.63708 271.62244 305.4339 401.3493 2 0.2337476 420.46368 437.33923 507.89352 509.90866 2 0.13258848 0.0 120.5957 461.89255 512.0 3 0.08007056 154.6321 259.2778 292.4221 391.55273 4 0.66827965 468.6636 346.4228 511.8716 403.80566 4 0.07961541 442.22568 407.5825 512.0 421.882 4 0.05744719 449.2254 275.6446 512.0 307.53635 6 0.36217347 92.079315 259.61578 221.20319 388.50806 6 0.2946095 11.396328 157.90752 452.35196 500.41772 6 0.13062747 151.9256 268.80124 295.37036 399.70688 6 0.11633617 59.580235 3.0405931 424.30176 63.272217 6 0.102573045 160.42296 204.65735 373.87418 417.51562 6 0.095916115 468.89404 346.7573 512.0 404.17624 6 0.09242965 440.4525 461.0368 512.0 510.00015 6 0.06274217 404.78806 417.77173 512.0 512.0 6 0.061223622 10.816816 118.073906 259.6471 196.8548 7 0.31047747 436.6526 461.4102 512.0 512.0 7 0.14464086 74.5488 246.44415 231.15993 384.92224 7 0.11008465 0.0 0.0 512.0 218.78427 7 0.07041364 59.8442 0.95871335 446.38882 61.52511 7 0.05967323 4.8336916 222.48871 446.35477 512.0 8 0.97136545 0.0 119.15077 449.50034 510.95398 8 0.7420532 438.91074 460.12845 510.70996 512.0 8 0.6706654 401.50977 422.0685 508.6867 510.67618 8 0.6484566 70.24625 0.0 419.68155 65.438835 8 0.2613434 9.652617 219.01382 247.74123 475.1846 8 0.2530039 468.50464 349.87802 512.0 403.9152 8 0.2443625 19.18715 119.05424 257.98694 199.8806 8 0.07232479 192.3241 235.63503 247.62503 262.52792 8 0.067238465 85.51659 254.08228 222.66154 384.61676 8 0.06455569 164.00807 273.31625 267.5351 387.99554 10 0.5844607 157.64847 130.69777 258.62442 170.61784 10 0.14198312 156.20767 271.01453 307.39105 401.69757 10 0.10329696 470.35938 348.84393 512.0 406.553 10 0.09740329 13.221436 116.50526 253.58296 198.77553 10 0.09529258 85.806435 253.79776 223.66168 384.3361 ,batch_01_vt/0122.jpg
